track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2RQYvKXf2WG4bqN6hPRNq6,"R3HAB, Jolin Tsai",Stars Align (with Jolin Tsai),Stars Align (with Jolin Tsai),41,161904,False,0.757,0.794,9,-5.82,1,0.135,0.0497,0.00946,0.121,0.453,126.036,4,EDM
6uBhi9gBXWjanegOb2Phh0,"Zedd, Alessia Cara",Stay,Stay,73,210090,False,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,4,EDM
7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",Closer,Closer,84,244960,False,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,4,EDM
0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Days / Nights,The Nights,82,176658,False,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,4,EDM
698ItKASDavgwZ3WjaWjtz,Alan Walker,Different World,Faded,80,212106,False,0.468,0.627,6,-5.085,1,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,4,EDM
74PyndGWYtfs86n60lAsYW,Cascada,Original Me,Everytime We Touch - Radio Edit,62,199120,False,0.64,0.977,8,-5.369,1,0.0555,0.00461,1.68e-05,0.371,0.493,142.019,4,EDM
3cHyrEgdyYRjgJKSOiOtcS,"Pitbull, Kesha",Global Warming: Meltdown (Deluxe Version),Timber,82,204160,False,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,4,EDM
23L5CiUhw2jV1OIMwthR3S,"Martin Garrix, Bebe Rexha",In the Name of Love,In the Name of Love,77,195706,False,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,4,EDM
6RUKPb4LETWmmr3iAEQktW,"The Chainsmokers, Coldplay",Memories...Do Not Open,Something Just Like This,86,247160,False,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4,EDM
7BqHUALzNBTanL6OvsqmC1,"Marshmello, Bastille",Happier,Happier,82,214289,False,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011,4,EDM
3P3pw6C19j31Rnzgo3JG7o,"Jonas Blue, JP Cooper",Blue,Perfect Strangers,74,196613,False,0.73,0.861,1,-4.1,1,0.0451,0.39,0.0,0.213,0.704,117.965,4,EDM
0lYBSQXN6rCTvUZvg9S0lU,"DJ Snake, Justin Bieber",Encore,Let Me Love You,83,205946,False,0.475,0.715,8,-5.371,1,0.058,0.0863,2.67e-05,0.135,0.159,199.892,4,EDM
285HeuLxsngjFn4GGegGNm,"David Guetta, AFROJACK, Bebe Rexha, Nicki Minaj",Listen,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",73,192560,False,0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979,4,EDM
2P4OICZRVAQcYAV2JReRfj,Avicii,Stories,Waiting For Love,78,230613,False,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,4,EDM
77x68F78XGMt95NSy4E47c,"Astrid S, Broiler",Hurts So Good (Remixes),Hurts So Good - Broiler Remix,40,205746,False,0.663,0.76,5,-3.847,1,0.0458,0.0895,4.87e-06,0.237,0.345,125.891,4,EDM
61dCUoMCg28qEBzrW6htYM,"Clean Bandit, Jess Glynne",New Eyes,Rather Be (feat. Jess Glynne),72,227833,False,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,4,EDM
0azC730Exh71aQlOt9Zj3y,"Calvin Harris, Rihanna",This Is What You Came For,This Is What You Came For,77,222160,False,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4,EDM
2CEgGE6aESpnmtfiZwYlbV,Taio Cruz,The Rokstarr Hits Collection,Dynamite,72,202613,False,0.751,0.781,4,-3.724,1,0.0862,0.0039,0.0,0.036,0.814,119.977,4,EDM
1i1fxkWeaMmKEB4T7zqbzK,"The Chainsmokers, Daya",Don't Let Me Down,Don't Let Me Down,80,208373,False,0.533,0.869,11,-5.093,1,0.173,0.156,0.00538,0.136,0.425,159.805,4,EDM
0nrRP2bk19rLc0orkWPQk2,Avicii,True,Wake Me Up,83,247426,False,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4,EDM
7y91nQBMhyeHWTn9wVvhKl,"Camilo, Carin Leon",Una Vida Pasada,Una Vida Pasada,69,218500,False,0.768,0.679,7,-5.539,0,0.0411,0.656,3.66e-05,0.143,0.948,89.975,4,Latin
4wS0TnQzVkY9ML1BPKpOk1,"Tiago PZK, Ke Personajes",Piel,Piel,73,141079,True,0.646,0.907,0,-1.617,1,0.0593,0.422,0.0,0.14,0.816,168.004,4,Latin
43PiEypaceH339CSNiggyj,"iZaak, JHAYCO, Anuel AA",BBY BOO (REMIX),BBY BOO - REMIX,75,275862,True,0.703,0.617,5,-5.696,1,0.151,0.215,6.11e-06,0.433,0.486,173.97,4,Latin
4dLLdfiniBhDP9dlJQIOi4,"Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?","Perdonarte, ¿Para Qué?",79,193933,False,0.672,0.702,11,-4.662,0,0.0314,0.168,0.0,0.0445,0.615,90.039,4,Latin
6fNCrsrdIcgVd2aZZ0nnz4,"Maluma, Carin Leon",Según Quién,Según Quién,72,142334,True,0.909,0.762,9,-3.974,1,0.0643,0.434,0.0,0.0856,0.843,101.987,3,Latin
0O3U5iwTbiXCREMkvotJuN,"Grupo Frontera, Grupo Firme",El Comienzo,EL AMOR DE SU VIDA,81,165848,False,0.616,0.834,9,-3.069,1,0.0664,0.06,0.0,0.338,0.746,151.701,4,Latin
0p0cOpBujR114Wirv5AM7W,"Dei V, Bryant Myers",Narcotics (with Bryant Myers),Narcotics (with Bryant Myers),66,173991,True,0.711,0.73,1,-5.659,1,0.0904,0.379,0.0,0.119,0.702,159.969,4,Latin
7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",FERXXOCALIPSIS,LUNA,88,196800,False,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,4,Latin
3KeYEr9ogMBemsOfQIJmZp,"Big One, Maria Becerra, Trueno",Cuando Te Vi | CROSSOVER #5,Cuando Te Vi | CROSSOVER #5,78,218400,True,0.81,0.767,6,-3.104,0,0.053,0.162,0.0,0.0957,0.654,99.996,4,Latin
7slBlaUuSCgADZBuTQDYBB,Ela Taubert,¿Cómo Pasó?,¿Cómo Pasó?,74,174546,False,0.705,0.743,6,-5.239,1,0.0536,0.0294,0.0,0.101,0.443,119.989,4,Latin
